OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Rochester Percentage,Murphy Percentage
283,21,2921,21-11,8314410.38841481,15690.1897974036,2131,1579,157,176,60.22,37.95
284,21,987,21-12,1307603.56721924,5173.10971069459,849,595,43,97,53.29,44.44
285,21,1891,21-13,2146688.67699913,8300.927341106211,1353,1037,26,120,64.23,34.01
286,21,525,21-14,799030.025840055,4264.65954811377,436,351,5,42,49.28,49.76
287,21,151,21-15,60780.367933255,1118.50387943119,38,10,6,3,75,25
288,22,2128,22-01,5688331.31961246,9677.62028775793,1656,1256,10,183,55.81,42.87
289,22,1738,22-02,4530432.86608895,9157.33602114228,1407,934,9,134,56.15,43.16
290,22,1948,22-03,5769077.7130211,10327.7700069918,1593,1116,9,172,57.19,41.68
291,22,1928,22-04,5256530.01477136,11383.9537675435,1615,1255,8,167,57.6,40.97
292,22,2679,22-05,7627443.41923112,14545.2547743555,2380,1830,19,239,51.81,46.96
293,22,1297,22-06,2455305.16624427,7223.49162167008,1005,686,26,104,70.57,27.79
294,22,1922,22-07,3818667.66265253,8654.25579600565,1503,1223,9,139,60.65,37.27
295,22,1741,22-08,3173817.71843118,7959.94933197075,1460,848,7,133,59.19,39.61
296,22,1636,22-09,2488287.47440568,6745.86841397015,1367,1069,15,128,56.96,41.35
297,22,2741,22-10,3385129.70938956,8451.143830855739,2001,1428,31,199,59.71,38.2
298,22,1419,22-11,4854010.688128,9935.98219182368,1301,1004,10,175,53.57,44.62
299,22,2018,22-12,5552039.65551408,10690.538177268,1681,1194,11,185,51.93,46.52
300,22,1869,22-13,3952200.03279073,8816.62706169944,1641,1407,5,138,55.74,42.55
301,23,1829,23-01,1213291.53141343,5676.994423232931,518,363,27,56,75,21.77
302,23,2360,23-02,4076672.07151568,11547.61806558,1672,1207,154,149,67.54,30.27
303,23,1456,23-03,2525414.87177715,7144.571435129741,1245,973,33,135,65.3,32.1
304,23,2433,23-04,2696322.92580931,7060.42760802481,1932,1468,79,222,72.77,25.06
305,23,2707,23-05,2136577.68997652,9854.39841534312,1848,1188,233,152,73.2,24.21
306,23,2168,23-06,4458427.04416214,10384.8553127524,1706,1358,29,188,57.76,39.88
