geoid20,total_reg,eth1_aa,eth1_eur,g20201103_voted_all,g20201103_pct_voted_all
100050517023014,34,0,34,27,0.9
100050517023013,15,1,12,13,0.8667
100050517023012,0,0,0,0,
100050517023011,10,1,4,4,0.5
100050517023010,0,0,0,0,
100050517023009,62,7,54,37,0.6270999999999999
100050517023008,15,0,12,3,0.2142999999999999
100050517023007,15,0,12,7,0.5384999999999999
100050517023006,10,2,6,2,0.2
100050517023005,16,0,15,10,0.9091
100050517023004,192,20,154,93,0.5471
100050517023003,48,0,46,30,0.625
100050517023002,34,0,30,23,0.6765000000000001
100050517023001,18,0,16,14,0.875
100050517023000,81,0,72,59,0.7563999999999999
100050517022057,0,0,0,0,
100050517022056,14,4,6,0,0.0
100050517022055,43,0,41,35,0.8537000000000001
100050517022054,36,0,29,27,0.75
100050517022053,4,0,4,4,1.0
100050517022052,42,2,34,26,0.6666999999999998
100050517022051,0,0,0,0,
100050517022050,5,0,5,2,0.4
100050517022049,2,0,2,1,0.5
100050517022048,32,0,27,18,0.6666999999999998
100050517022047,30,1,26,10,0.3448
100050517022046,0,0,0,0,
100050517022045,12,0,11,8,0.6666999999999998
100050517022044,0,0,0,0,
100050517022043,0,0,0,0,
100050517022042,14,0,13,12,0.8571000000000002
100050517022041,1,0,1,1,1.0
100050517022040,10,0,9,6,0.5999999999999999
100050517022039,19,0,19,12,0.6316
100050517022038,86,4,75,58,0.7159999999999999
100050517022037,54,0,48,40,0.7842999999999998
100050517022036,51,2,36,24,0.5854
100050517022035,8,0,8,5,0.7142999999999999
100050517022034,44,0,40,28,0.6666999999999998
100050517022033,27,3,15,12,0.5714
100050517022032,51,12,29,29,0.7632000000000001
100050517022031,46,6,33,29,0.7632000000000001
100050517022030,114,17,80,64,0.7441999999999999
100050517022029,30,1,28,18,0.5999999999999999
100050517022028,0,0,0,0,
100050517022027,1,0,0,0,0.0
100050517022026,0,0,0,0,
100050517022025,5,0,4,0,0.0
100050517022024,74,1,66,52,0.7535999999999999
100050517022023,75,0,69,56,0.7887
100050517022022,2,0,2,1,0.5
100050517022021,0,0,0,0,
100050517022020,0,0,0,0,
100050517022019,0,0,0,0,
100050517022018,44,0,38,32,0.7619
100050517022017,7,0,6,3,0.4285999999999999
100050517022016,11,2,6,1,0.125
100050517022015,9,0,7,5,0.625
100050517022014,128,10,99,58,0.5224999999999999
100050517022013,25,0,24,13,0.5416999999999998
100050517022012,47,0,41,36,0.8371999999999999
100050517022011,144,1,134,98,0.7596999999999999
100050517022010,33,0,33,17,0.5666999999999999
100050517022009,17,0,17,14,0.875
100050517022008,25,0,21,23,0.92
100050517022007,76,1,73,45,0.5999999999999999
100050517022006,12,0,10,6,0.5
100050517022005,70,3,55,35,0.5147
100050517022004,38,0,35,17,0.5312999999999999
100050517022003,76,0,67,52,0.7428999999999998
100050517022002,0,0,0,0,
100050517022001,81,2,70,55,0.7142999999999999
100050517022000,46,0,46,27,0.6279
100050517021116,16,1,14,9,0.5999999999999999
100050517021115,4,0,4,4,1.0
100050517021114,5,0,5,3,0.5999999999999999
100050517021113,14,0,13,8,0.6154
100050517021112,0,0,0,0,
100050517021111,0,0,0,0,
100050517021110,16,0,12,13,0.8125
100050517021109,3,0,3,3,1.0
100050517021108,14,0,12,13,0.9286
100050517021107,11,1,10,9,0.8182
100050517021106,32,0,32,25,0.7812999999999999
100050517021105,28,1,22,20,0.7691999999999999
100050517021104,0,0,0,0,
100050517021103,34,0,33,22,0.6666999999999998
100050517021102,25,1,21,18,0.7199999999999999
100050517021101,5,0,5,5,1.0
100050517021100,11,1,10,6,0.5454999999999999
100050517021099,2,0,2,2,1.0
100050517021098,1,0,1,0,0.0
100050517021097,14,0,10,8,0.5714
100050517021096,44,0,39,29,0.7436
100050517021095,6,0,6,5,0.8333
100050517021094,16,0,12,10,0.625
100050517021093,9,0,6,3,0.3332999999999999
100050517021092,3,2,1,2,0.6666999999999998
100050517021091,6,0,6,5,0.8333
100050517021090,10,0,10,8,0.8
100050517021089,12,0,12,6,0.5
100050517021088,36,0,31,25,0.7353
100050517021087,0,0,0,0,
100050517021086,4,0,4,4,1.0
100050517021085,29,0,24,24,0.8276
100050517021084,33,1,31,24,0.7742
100050517021083,7,1,6,4,0.6666999999999998
100050517021082,2,0,2,1,0.5
100050517021081,3,0,3,2,0.6666999999999998
100050517021080,1,0,1,1,1.0
100050517021079,6,1,5,6,1.0
100050517021078,11,1,7,7,0.6363999999999999
100050517021077,8,0,5,5,0.7142999999999999
100050517021076,46,0,41,20,0.5262999999999999
100050517021075,45,0,44,28,0.6222
100050517021074,8,0,8,6,0.8571000000000002
100050517021073,2,0,2,1,1.0
100050517021072,0,0,0,0,
100050517021071,11,0,11,9,0.8182
100050517021070,14,0,13,11,0.9167
100050517021069,10,0,10,7,0.6999999999999998
100050517021068,8,0,7,6,0.8571000000000002
100050517021067,10,0,10,9,1.0
100050517021066,12,0,12,5,0.5555999999999999
100050517021065,3,0,2,2,0.6666999999999998
100050517021064,5,0,5,3,0.75
100050517021063,15,0,13,10,0.7142999999999999
100050517021062,2,0,2,2,1.0
100050517021061,33,0,29,23,0.697
100050517021060,5,0,5,5,1.0
100050517021059,12,0,12,12,1.0
100050517021058,19,0,12,9,0.5293999999999999
100050517021057,2,0,2,2,1.0
100050517021056,0,0,0,0,
100050517021055,2,0,2,2,1.0
100050517021054,3,0,3,3,1.0
100050517021053,5,0,4,3,0.75
100050517021052,15,0,15,12,0.8
100050517021051,13,0,12,7,0.5384999999999999
100050517021050,4,0,4,2,0.5
100050517021049,22,0,19,17,0.8946999999999999
100050517021048,13,0,13,12,0.9231
100050517021047,0,0,0,0,
100050517021046,8,0,8,7,0.875
100050517021045,3,0,3,2,1.0
